0x004050cc	__GLOBAL_HEAP_SELECTED
0x004050e4	__MSVCRT_HEAP_SELECT
0x004050fc	runtime error 
0x00405110	TLOSS error\r\n
0x00405120	SING error\r\n
0x00405130	DOMAIN error\r\n
0x00405140	R6028\r\n- unable to initialize heap\r\n
0x00405168	R6027\r\n- not enough space for lowio initialization\r\n
0x004051a0	R6026\r\n- not enough space for stdio initialization\r\n
0x004051d8	R6025\r\n- pure virtual function call\r\n
0x00405200	R6024\r\n- not enough space for _onexit/atexit table\r\n
0x00405238	R6019\r\n- unable to open console device\r\n
0x00405264	R6018\r\n- unexpected heap error\r\n
0x00405288	R6017\r\n- unexpected multithread lock error\r\n
0x004052b8	R6016\r\n- not enough space for thread data\r\n
0x004052e4	\r\nabnormal program termination\r\n
0x00405308	R6009\r\n- not enough space for environment\r\n
0x00405334	R6008\r\n- not enough space for arguments\r\n
0x00405360	R6002\r\n- floating point not loaded\r\n
0x00405388	Microsoft Visual C++ Runtime Library
0x004053b4	Runtime Error!\n\nProgram: 
0x004053d4	<program name unknown>
0x004053ec	GetLastActivePopup
0x00405400	GetActiveWindow
0x00405410	MessageBoxA
0x0040541c	user32.dll
0x00405552	CloseHandle
0x00405560	GetExitCodeProcess
0x00405576	WaitForSingleObject
0x0040558c	GetFileAttributesA
0x004055a2	MoveFileA
0x004055ae	CreateProcessA
0x004055c0	DeleteFileA
0x004055cc	KERNEL32.dll
0x004055dc	MessageBoxA
0x004055e8	USER32.dll
0x004055f6	GetModuleHandleA
0x0040560a	GetStartupInfoA
0x0040561c	GetCommandLineA
0x0040562e	GetVersion
0x0040563c	ExitProcess
0x0040564a	TerminateProcess
0x0040565e	GetCurrentProcess
0x00405672	UnhandledExceptionFilter
0x0040568e	GetModuleFileNameA
0x004056a4	FreeEnvironmentStringsA
0x004056be	FreeEnvironmentStringsW
0x004056d8	WideCharToMultiByte
0x004056ee	GetEnvironmentStrings
0x00405706	GetEnvironmentStringsW
0x00405720	SetHandleCount
0x00405732	GetStdHandle
0x00405742	GetFileType
0x00405750	GetEnvironmentVariableA
0x0040576a	GetVersionExA
0x0040577a	HeapDestroy
0x00405788	HeapCreate
0x00405796	VirtualFree
0x004057a4	HeapFree
0x004057b0	RtlUnwind
0x004057bc	WriteFile
0x004057c8	GetCPInfo
0x004057d4	GetACP
0x004057de	GetOEMCP
0x004057ea	HeapAlloc
0x004057f6	VirtualAlloc
0x00405806	HeapReAlloc
0x00405814	GetProcAddress
0x00405826	LoadLibraryA
0x00405836	MultiByteToWideChar
0x0040584c	LCMapStringA
0x0040585c	LCMapStringW
0x0040586c	GetStringTypeA
0x0040587e	GetStringTypeW
0x004060a4	.\Gin7UpdateClient.exe
0x004060bc	.\Gin7UpdateClient.old
0x004060d4	.\Gin7UpdateClient.new
0x00409152	StringFileInfo
0x00409176	041104b0
0x0040918e	Comments
0x004091a6	CompanyName
0x004091c0	株式会社 マルチターム
0x004091de	FileDescription
0x00409200	アップデートクライアント 起動プログラム
0x00409232	FileVersion
0x0040924c	1, 0, 0, 0
0x0040926a	InternalName
0x0040928a	LegalCopyright
0x004092a8	Multiterm Co.,Ltd.
0x004092d6	LegalTrademarks
0x004092fe	OriginalFilename
0x00409326	PrivateBuild
0x00409346	ProductName
0x00409366	ProductVersion
0x00409384	1, 0, 0, 0
0x004093a2	SpecialBuild
0x004093c2	VarFileInfo
0x004093e2	Translation
0x00409ca8	GroupIcon
0xffdff1ac	
0xffdffc00	
0xffdfff50	00000000-0000-0000-0000-000000000000
