0x006708d8	..\Data\MsgDat\
0x006708e8	constmsg.dat
0x006708f8	g7sw.dat
0x00670904	NO TABLE
0x00670910	NO DATA
0x00678fc4	pSrcRect pointer is invalid
0x00678fe0	pSrcMemory pointer is invalid
0x00679000	pDestSurface pointer is invalid
0x00679020	pSrcSurface pointer is invalid
0x00679040	pSrcBox pointer is invalid
0x0067905c	pDestVolume pointer is invalid
0x0067907c	pSrcVolume pointer is invalid
0x0067909c	Device does not support this Usage/ResType
0x006790c8	Pool parameter is invalid
0x006790e4	Usage parameter is invalid
0x00679100	pDevice pointer is invalid
0x0067911c	CreateTexture failed
0x00679134	ppTexture pointer is invalid
0x00679154	CreateCubeTexture failed
0x00679170	ppCubeTexture pointer is invalid
0x0067919f	OpTexture pointer is invalid
0x006791d4	Invalid source box
0x006791e8	pBaseTexture pointer is invalid
0x00679208	pSrcTexture pointer is invalid
0x00679228	uSrcLevel larger than num Mip level in the texture
0x0067925c	Failed trying to create texture
0x0067927c	File does not contain a cube texture
0x006792a4	Texture pointer is invalid
0x006792c0	cbSrcData value is invalid
0x006792dc	pvSrcData pointer is invalid
0x006794b0	ppDevice pointer is invalid
0x006794e0	Out of Memory
0x006794f0	SOFTWARE\Microsoft\Direct3D
0x00679598	ppSprite pointer is invalid
0x006795b4	D3DX: %s\r\n
0x006795c0	Direct3D
0x006795cc	debug
0x006795d4	D3DX Assertion Failure.. Application terminated
0x00679604	D3DX Assertion Failure
0x00679620	File:\t %s\nLine:\t %d\nAssertion:\t%s\n\nDo you want to invoke the debugger?
0x00679670	IsDebuggerPresent
0x00679684	kernel32.dll
0x00679694	Assertion failure! (%s %d): %s
0x006796b4	d3d8d.dll
0x006796c0	DebugSetMute
0x006796d0	d3d8.dll
0x006796dc	LoadBMP: JPEG compression not supported
0x00679708	d:\builds\nt32_chk\multimedia\directx\dxg\d3dx8\tex\cd3dximage.cpp
0x0067974c	pbDest == pbDestLine + dwWidth
0x0067976c	LoadJPG: %s
0x00679778	read error
0x00679784	LoadPNG: %s
0x006797b8	1.0.5
0x006797c0	LoadDDS: Partial cubemaps not supported.
0x006797ec	Unrecognized pixel format in DDS file.
0x00679814	Unsupported file format
0x0067982e	'7d:\builds\nt32_chk\multimedia\directx\dxg\d3dx8\tex\cd3dxblt.cpp
0x00679874	uSize <= uSizeMax
0x00679888	Invalid image filter
0x006798a0	Unsupported image format
0x006798bc	No suitable image filter found
0x006798dc	Update of vidmem texture failed
0x006798fc	Could not lock surface
0x00679914	Failed to create sysmem copy of vidmem surface
0x00679944	Invalid rect
0x00679954	Could not lock volume
0x0067996c	Cannot lock non-dynamic vidmem volumes
0x00679ca8	Invalid file name
0x00679cf8	Software\Microsoft\Direct3D
0x00679d14	DisableMMX
0x00679d20	GenuineIntel
0x00679d30	(INFO) CPU optimization disabled. Using x87 Instructions
0x00679d6c	(INFO) Using x87 Instructions
0x00679d8c	(INFO) Using SSE Instructions
0x00679dac	(INFO) Using SSE2 Instructions
0x00679dcc	(INFO) Using 3DNow Instructions
0x00679dec	DisableD3DXPSGP
0x00679dfc	DisablePSGP
0x00679e30	End called without matching Begin
0x00679e54	ppv pointer is invalid
0x00679e6c	Begin called from within a Begin/End pair
0x00679e9c	Source rect is outside surface limits
0x00679ec4	%s(%d) : (Assembly Error) %s
0x00679ee4	%s(%d) : (Assembly Error) statement incomplete
0x00679f14	%s(%d) : (Assembly Error) constant definition in shader body
0x00679f58	%s(%d) : (Assembly Error) shader version expected
0x00679f8c	syntax error
0x0067a020	texdepth
0x0067a02d	excrd
0x0067a034	phase
0x0067a03d	exdp3tex
0x0067a049	exm3x3
0x0067a051	exreg2rgb
0x0067a05d	exdp3
0x0067a064	texm3x2depth
0x0067a075	exm3x3vspec
0x0067a085	exm3x3spec
0x0067a091	exm3x3tex
0x0067a09d	exm3x3pad
0x0067a0a9	exm3x2tex
0x0067a0b5	exm3x2pad
0x0067a0c1	exreg2gb
0x0067a0cd	exreg2ar
0x0067a0d9	exbeml
0x0067a0e1	exbem
0x0067a0ed	exkill
0x0067a0f4	texcoord
0x0067a134	invalid mask '%s'
0x0067a148	invalid swizzle '%s'
0x0067a160	invalid register '%s[%d]'
0x0067a17c	invalid register '%s[a0.x + %d]'
0x0067a1a0	invalid register '%s'
0x0067a210	invalid constant
0x0067a22c	comment extends past end-of-file
0x0067a250	preprocessor directives are not supported
0x0067a27c	#line
0x0067a284	Internal assembler error! %d
0x0067a2a8	coissue not supported in vertex shaders
0x0067a2d0	a0.x can only appear once in an index expression
0x0067a304	illegal register number
0x0067a31c	illegal register in index expression
0x0067a344	complement cannot be used with other modifiers
0x0067a374	complement not supported in vertex shaders
0x0067a3a0	negate and divide modifiers cannot be combined
0x0067a3d0	constant modifiers not supported in ps.1.4
0x0067a3fc	invalid version
0x0067a40c	yacc stack overflow
0x0067a420	Could not read data from source
0x0067a440	Error assembling shader
0x0067a458	statement expected
0x0067a46c	ValidateVertexShader
0x0067a484	ValidatePixelShader
0x0067a498	LoadDebugRuntime
0x0067a4ac	D3DX8 Shader Assembler Version 0.91
0x0067a6b4	Application transferred too many scanlines
0x0067a6e0	Invalid SOS parameters for sequential JPEG
0x0067a70c	Corrupt JPEG data: found marker 0x%02x instead of RST%d
0x0067a744	Premature end of JPEG file
0x0067a760	Warning: unknown JFIF revision number %d.%02d
0x0067a790	Corrupt JPEG data: bad Huffman code
0x0067a7b4	Corrupt JPEG data: premature end of data segment
0x0067a7e8	Corrupt JPEG data: %u extraneous bytes before marker 0x%02x
0x0067a828	Inconsistent progression sequence for component %d coefficient %d
0x0067a86c	Unknown Adobe color transform code %d
0x0067a894	Obtained XMS handle %u
0x0067a8ac	Freed XMS handle %u
0x0067a8c0	Unrecognized component IDs %d %d %d, assuming YCbCr
0x0067a8f4	Opened temporary file %s
0x0067a910	Closed temporary file %s
0x0067a92c	  Ss=%d, Se=%d, Ah=%d, Al=%d
0x0067a94c	    Component %d: dc=%d ac=%d
0x0067a96c	Start Of Scan: %d components
0x0067a98c	Start of Image
0x0067a99c	    Component %d: %dhx%dv q=%d
0x0067a9bc	Start Of Frame 0x%02x: width=%u, height=%u, components=%d
0x0067a9f8	Smoothing not supported with nonstandard sampling ratios
0x0067aa34	RST%d
0x0067aa3c	At marker 0x%02x, recovery action %d
0x0067aa64	Selected %d colors for quantization
0x0067aa88	Quantizing to %d colors
0x0067aaa0	Quantizing to %d = %d*%d*%d colors
0x0067aac4	        %4u %4u %4u %4u %4u %4u %4u %4u
0x0067aaec	Unexpected marker 0x%02x
0x0067ab08	Skipping marker 0x%02x, length %u
0x0067ab2c	    with %d x %d thumbnail image
0x0067ab50	Unknown JFIF minor revision number %d.%02d
0x0067ab7c	Warning: thumbnail image size does not match data length %u
0x0067abb8	JFIF APP0 marker, density %dx%d  %d
0x0067abdc	        %3d %3d %3d %3d %3d %3d %3d %3d
0x0067ac04	End Of Image
0x0067ac14	Obtained EMS handle %u
0x0067ac2c	Freed EMS handle %u
0x0067ac40	Define Restart Interval %u
0x0067ac5c	Define Quantization Table %d  precision %d
0x0067ac88	Define Huffman Table 0x%02x
0x0067aca4	Define Arithmetic Table 0x%02x: 0x%02x
0x0067accc	Unknown APP14 marker (not Adobe), length %u
0x0067acf8	Unknown APP0 marker (not JFIF), length %u
0x0067ad28	Adobe APP14 marker: version %d, flags 0x%04x 0x%04x, transform %d
0x0067ad6c	Caution: quantization tables are too coarse for baseline JPEG
0x0067adac	6a  7-Feb-96
0x0067adbc	Copyright (C) 1996, Thomas G. Lane
0x0067ade0	Write to XMS failed
0x0067adf4	Read from XMS failed
0x0067ae0c	Image too wide for this implementation
0x0067ae34	Virtual array controller messed up
0x0067ae58	Unsupported marker type 0x%02x
0x0067ae78	Application transferred too few scanlines
0x0067aea4	Write failed on temporary file --- out of disk space?
0x0067aedc	Seek failed on temporary file
0x0067aefc	Read failed on temporary file
0x0067af1c	Failed to create temporary file %s
0x0067af40	Invalid JPEG file structure: SOS before SOF
0x0067af6c	Invalid JPEG file structure: two SOI markers
0x0067af9c	Unsupported JPEG process: SOF type 0x%02x
0x0067afc8	Invalid JPEG file structure: missing SOS marker
0x0067aff8	Invalid JPEG file structure: two SOF markers
0x0067b028	Cannot quantize to more than %d colors
0x0067b050	Cannot quantize to fewer than %d colors
0x0067b078	Cannot quantize more than %d color components
0x0067b0a8	Insufficient memory (case %d)
0x0067b0c8	Not a JPEG file: starts with 0x%02x 0x%02x
0x0067b0f4	Quantization table 0x%02x was not defined
0x0067b120	JPEG datastream contains no image
0x0067b144	Huffman table 0x%02x was not defined
0x0067b16c	Backing store not supported
0x0067b188	Requested feature was omitted at compile time
0x0067b1b8	Not implemented yet
0x0067b1cc	Invalid color quantization mode change
0x0067b1f4	Scan script does not transmit all data
0x0067b21c	Cannot transcode due to multiple use of quantization table %d
0x0067b25c	Premature end of input file
0x0067b278	Empty input file
0x0067b28c	Maximum supported image dimension is %u pixels
0x0067b2bc	Missing Huffman code table entry
0x0067b2e0	Huffman code size table overflow
0x0067b304	Fractional sampling not implemented yet
0x0067b32c	Output file write error --- out of disk space?
0x0067b35c	Input file read error
0x0067b374	Didn't expect more than one scan
0x0067b398	Write to EMS failed
0x0067b3ac	Read from EMS failed
0x0067b3c4	Empty JPEG image (DNL not supported)
0x0067b3ec	Bogus DQT index %d
0x0067b400	Bogus DHT index %d
0x0067b414	Bogus DHT counts
0x0067b428	Bogus DAC value 0x%x
0x0067b440	Bogus DAC index %d
0x0067b454	Unsupported color conversion request
0x0067b47c	Too many color components: %d, max %d
0x0067b4a4	CCIR601 sampling not implemented yet
0x0067b4cc	Suspension not allowed here
0x0067b4e8	Buffer passed to JPEG library is too small
0x0067b514	Bogus virtual array access
0x0067b530	JPEG parameter struct mismatch: library thinks size is %u, caller expects %u
0x0067b580	Improper call to JPEG library in state %d
0x0067b5ac	Invalid scan script at entry %d
0x0067b5cc	Bogus sampling factors
0x0067b5e4	Invalid progressive parameters at scan script entry %d
0x0067b61c	Invalid progressive parameters Ss=%d Se=%d Ah=%d Al=%d
0x0067b654	Unsupported JPEG data precision %d
0x0067b678	Invalid memory pool code %d
0x0067b694	Sampling factors too large for interleaved scan
0x0067b6c4	Wrong JPEG library version: library is %d, caller expects %d
0x0067b704	Bogus marker length
0x0067b718	Bogus JPEG colorspace
0x0067b730	Bogus input colorspace
0x0067b748	IDCT output block size %d not supported
0x0067b770	Invalid component ID %d in SOS
0x0067b790	Bogus buffer control mode
0x0067b7ac	MAX_ALLOC_CHUNK is wrong, please fix
0x0067b7d4	ALIGN_TYPE is wrong, please fix
0x0067b7f4	Sorry, there are legal restrictions on arithmetic coding
0x0067b830	Bogus message code %d
0x0067b848	0123456789ABCDEF1.0.5
0x0067b8d4	zlib version error
0x0067b8e8	zlib memory error
0x0067b8fc	Unknown zlib error
0x0067b910	1.1.3
0x0067b918	Incompatible libpng version in application and library
0x0067b950	Missing PLTE before IDAT
0x0067b96c	Missing IHDR before IDAT
0x0067b988	PNG file corrupted by ASCII conversion
0x0067b9b0	Not a PNG file
0x0067b9c0	Extra compressed data
0x0067b9d8	Decompression error
0x0067b9ec	Not enough image data
0x0067ba04	Invalid attempt to read row data
0x0067ba28	Width too large for libpng to process image data.
0x0067ba7e	p?png_do_dither returned rowbytes=0
0x0067baa4	NULL row buffer
0x0067bab4	Width too large to process image data; rowbytes will overflow.
0x0067baff	?Call to NULL read function
0x0067bb1c	same structure.  Resetting write_data_fn to NULL.
0x0067bb50	It's an error to set both read_data_fn and write_data_fn in the 
0x0067bcbc	Stack Empty
0x0067be00	AuthenticAMD
0x0067be10	UnknownVendr
0x0067c070	need dictionary
0x0067c080	incorrect data check
0x0067c098	incorrect header check
0x0067c0b0	invalid window size
0x0067c0c4	unknown compression method
0x0067c158	invalid chunk type
0x0067c16c	Ignoring bad adaptive filter type
0x0067c190	CRC error
0x0067c19c	Unknown filter method in IHDR
0x0067c1bc	Unknown compression method in IHDR
0x0067c1e0	Unknown interlace method in IHDR
0x0067c204	Invalid color type/bit depth combination in IHDR
0x0067c238	Invalid color type in IHDR
0x0067c254	Invalid bit depth in IHDR
0x0067c270	Invalid image size in IHDR
0x0067c28c	Invalid IHDR chunk
0x0067c2a0	Out of place IHDR
0x0067c2b4	Truncating incorrect tRNS chunk length
0x0067c2dc	Invalid palette chunk
0x0067c2f4	Duplicate PLTE chunk
0x0067c30c	Invalid PLTE after IDAT
0x0067c324	Missing IHDR before PLTE
0x0067c340	Incorrect IEND chunk length
0x0067c35c	No image in file
0x0067c370	Ignoring incorrect gAMA value when sRGB is also present
0x0067c3b7	@Duplicate gAMA chunk
0x0067c3d0	Out of place gAMA chunk
0x0067c3e8	Invalid gAMA after IDAT
0x0067c400	Incorrect gAMA chunk length
0x0067c41c	Missing IHDR before gAMA
0x0067c43b	GUnknown sRGB intent
0x0067c450	Duplicate sRGB chunk
0x0067c468	Out of place sRGB chunk
0x0067c480	Invalid sRGB after IDAT
0x0067c498	Incorrect sRGB chunk length
0x0067c4b4	Missing IHDR before sRGB
0x0067c4d0	tRNS chunk not allowed with alpha channel
0x0067c4fc	Incorrect tRNS chunk length
0x0067c518	Duplicate tRNS chunk
0x0067c530	Invalid tRNS after IDAT
0x0067c548	Zero length tRNS chunk
0x0067c560	Missing PLTE before tRNS
0x0067c57c	Missing IHDR before tRNS
0x0067c598	unknown critical chunk
0x0067c5b0	Extra compression data
0x0067c5c8	Decompression Error
0x0067c9df	-Matrix should be 16-byte aligned for optimized D3DXVec2Transform
0x0067ca40	Matrix should be 16-byte aligned for optimized D3DXVec2TransformNormal
0x0067caa0	Matrix should be 16-byte aligned for optimized D3DXVec3TransformNormal
0x0067cb00	Matrix should be 16-byte aligned for optimized D3DXVec3Transform
0x0067cb60	Matrix should be 16-byte aligned for optimized D3DXVec4Transform
0x0067cbc0	Matrices should be 16-byte aligned for optimized D3DXMatrixMultiply
0x0067cc20	Matrices should be 16-byte aligned for optimized D3DXMatrixMultiplyTranspose
0x0067d00c	invalid bit length repeat
0x0067d028	too many length or distance symbols
0x0067d04c	invalid stored block lengths
0x0067d06c	invalid block type
0x0067d080	incompatible version
0x0067d098	buffer error
0x0067d0a8	insufficient memory
0x0067d0bc	data error
0x0067d0c8	stream error
0x0067d0d8	file error
0x0067d0e4	stream end
0x0067d10f	?invalid distance code
0x0067d128	invalid literal/length code
0x0067d338	incomplete dynamic bit lengths tree
0x0067d35c	oversubscribed dynamic bit lengths tree
0x0067d384	incomplete literal/length tree
0x0067d3a4	oversubscribed literal/length tree
0x0067d3c8	empty distance tree with lengths
0x0067d3ec	incomplete distance tree
0x0067d408	oversubscribed distance tree
0x0067dd70	CDialog
0x0067df3c	MS Sans Serif
0x0067df4c	MS Shell Dlg
0x0067df78	CWinApp
0x0067dfe8	PreviewPages
0x0067dff8	Settings
0x0067e004	File%d
0x0067e00c	Recent File List
0x0067e0dc	Automation
0x0067e0e8	Embedding
0x0067e0f8	Unregserver
0x0067e104	Unregister
0x0067e130	CWinThread
0x0067e1e8	CCmdTarget
0x0067e2dc	Software\
0x0067e300	CSingleDocTemplate
0x0067e3a4	software
0x0067e3f8	CTempWnd
0x0067e6d0	AfxOldWndProc423
0x0067e6e4	AfxWnd42s
0x0067e6f0	AfxControlBar42s
0x0067e704	AfxMDIFrame42s
0x0067e714	AfxFrameOrView42s
0x0067e728	AfxOleControl42s
0x0067e73c	GetMonitorInfoA
0x0067e74c	EnumDisplayMonitors
0x0067e760	MonitorFromPoint
0x0067e774	MonitorFromRect
0x0067e784	MonitorFromWindow
0x0067e798	GetSystemMetrics
0x0067e7ac	USER32
0x0067e7b4	DISPLAY
0x0067e7bc	commctrl_DragListMsg
0x0067e894	Afx:%x:%x:%x:%x:%x
0x0067e8a8	Afx:%x:%x
0x0067e8c8	InitCommonControlsEx
0x0067e8e0	COMCTL32.DLL
0x0067e9c8	CDocument
0x0067ea40	 #%;/\
0x0067ea4c	ReplaceFile
0x0067ea58	KERNEL32
0x0067eaf0	CSplitterWnd
0x0067ec40	CView
0x0067ec60	CFrameWnd
0x0067f0e0	MSWHEEL_ROLLMSG
0x0067f228	CTempGdiObject
0x0067f250	CTempDC
0x0067f290	CFont
0x0067f2b0	CGdiObject
0x0067f2d8	CPaintDC
0x0067f300	CWindowDC
0x0067f328	CClientDC
0x0067f370	CUserException
0x0067f398	CResourceException
0x0067f670	CTempMenu
0x0067f698	CMenu
0x0067f6e8	CObject
0x0067f6f0	CStringList
0x0067f728	CNotSupportedException
0x0067f758	CMemoryException
0x0067f788	CException
0x0067f7e0	CFile
0x0067f860	DllGetClassObject
0x0067f874	{%08X-%04X-%04X-%02X%02X-%02X%02X%02X%02X%02X%02X}
0x0067f8a8	InProcServer32
0x0067f8b8	CLSID
0x0067f8d8	CFileException
0x0067f8e8	CObList
0x0067f900	combobox
0x0067f90c	System
0x0067f968	CMapPtrToPtr
0x0067f9a0	CDocManager
0x0067f9ec	NullFile
0x0067f9f8	[printto("%1","%2","%3","%4")]
0x0067fa18	[print("%1")]
0x0067fa28	[open("%1")]
0x0067fa38	ddeexec
0x0067fa40	 /dde
0x0067fa48	 /pt "%1" "%2" "%3" "%4"
0x0067fa64	 /p "%1"
0x0067fa70	 "%1"
0x0067fa78	command
0x0067fa84	%s\ShellNew
0x0067fa90	%s\DefaultIcon
0x0067faa0	%s\shell\printto\%s
0x0067fab4	%s\shell\print\%s
0x0067fac8	%s\shell\open\%s
0x0067fb20	[printto("
0x0067fb2c	[print("
0x0067fb38	[open("
0x0067fc30	CDocTemplate
0x00680110	CMemFile
0x006801a0	CPtrList
0x006801d8	CArchiveException
0x00680230	CFileDialog
0x00680348	COleDispatchException
0x006804cc	RichEdit Text and Objects
0x006804e8	Rich Text Format
0x006804fc	FileNameW
0x00680508	FileName
0x00680514	Link Source Descriptor
0x0068052c	Object Descriptor
0x00680540	Link Source
0x0068054c	Embed Source
0x0068055c	Embedded Object
0x0068056c	ObjectLink
0x00680578	OwnerLink
0x00680584	Native
0x006805e0	CPtrArray
0x00680638	commdlg_SetRGBColor
0x0068064c	commdlg_help
0x0068065c	commdlg_ColorOK
0x0068066c	commdlg_FileNameOK
0x00680680	commdlg_ShareViolation
0x00680698	commdlg_LBSelChangedNotify
0x006806d0	COleException
0x006807f0	COleBusyDialog
0x00680818	COleDialog
0x00680900	%2\CLSID
0x0068090c	%2\Insertable
0x0068091c	%2\protocol\StdFileEditing\verb\0
0x00680944	%2\protocol\StdFileEditing\server
0x0068096c	CLSID\%1
0x00680978	CLSID\%1\ProgID
0x0068098c	CLSID\%1\InprocHandler32
0x006809a5	ole32.dll
0x006809b0	CLSID\%1\LocalServer32
0x006809cc	CLSID\%1\Verb\0
0x006809e8	CLSID\%1\Verb\1
0x00680a04	CLSID\%1\Insertable
0x00680a1c	CLSID\%1\AuxUserType\2
0x00680a38	CLSID\%1\AuxUserType\3
0x00680a54	CLSID\%1\DefaultIcon
0x00680a70	CLSID\%1\MiscStatus
0x00680a88	CLSID\%1\InProcServer32
0x00680aa4	CLSID\%1\DocObject
0x00680abc	%2\DocObject
0x00680acc	CLSID\%1\Printable
0x00680ae0	CLSID\%1\DefaultExtension
0x00680c9c	Unknown exception
0x00680cd8	LC_TIME
0x00680ce0	LC_NUMERIC
0x00680cec	LC_MONETARY
0x00680cf8	LC_CTYPE
0x00680d04	LC_COLLATE
0x00680d10	LC_ALL
0x00680d7c	H:mm:ss
0x00680d84	dddd, MMMM dd, yyyy
0x00680d98	M/d/yy
0x00680da8	December
0x00680db4	November
0x00680dc0	October
0x00680dc8	September
0x00680dd4	August
0x00680dec	April
0x00680df4	March
0x00680dfc	February
0x00680e08	January
0x00680e40	Saturday
0x00680e4c	Friday
0x00680e54	Thursday
0x00680e60	Wednesday
0x00680e6c	Tuesday
0x00680e74	Monday
0x00680e7c	Sunday
0x00680f76	null)
0x00680f9e	GAIsProcessorFeaturePresent
0x00680fbc	e+000
0x00681008	floor
0x006810f4	Paraguay
0x00681108	Chile
0x00681110	Ecuador
0x00681118	Argentina
0x0068112c	Colombia
0x00681138	Venezuela
0x00681144	Dominican Republic
0x00681158	South Africa
0x00681168	Panama
0x00681170	Luxembourg
0x0068117c	Costa Rica
0x00681188	Switzerland
0x00681194	Guatemala
0x006811a0	Canada
0x006811a8	Spanish - Modern Sort
0x006811c0	Australia
0x006811cc	English
0x006811d4	Austria
0x006811dc	German
0x006811e4	Belgium
0x006811ec	Mexico
0x006811f4	Spanish
0x006811fc	Basque
0x00681204	Sweden
0x0068120c	Swedish
0x00681214	Iceland
0x0068121c	Icelandic
0x00681228	France
0x00681230	French
0x00681238	Finland
0x00681240	Finnish
0x00681248	Spain
0x00681250	Spanish - Traditional Sort
0x0068126c	united-states
0x0068127c	united-kingdom
0x0068128c	trinidad & tobago
0x006812a0	south-korea
0x006812ac	south-africa
0x006812bc	south korea
0x006812c8	south africa
0x006812e0	puerto-rico
0x006812ec	pr-china
0x006812f8	pr china
0x00681308	new-zealand
0x00681314	hong-kong
0x00681320	holland
0x00681328	great britain
0x00681338	england
0x00681348	china
0x00681350	britain
0x00681358	america
0x0068136c	swiss
0x00681374	swedish-finland
0x00681384	spanish-venezuela
0x00681398	spanish-uruguay
0x006813a8	spanish-puerto rico
0x006813bc	spanish-peru
0x006813cc	spanish-paraguay
0x006813e0	spanish-panama
0x006813f0	spanish-nicaragua
0x00681404	spanish-modern
0x00681414	spanish-mexican
0x00681424	spanish-honduras
0x00681438	spanish-guatemala
0x0068144c	spanish-el salvador
0x00681460	spanish-ecuador
0x00681470	spanish-dominican republic
0x0068148c	spanish-costa rica
0x006814a0	spanish-colombia
0x006814b4	spanish-chile
0x006814c4	spanish-bolivia
0x006814d4	spanish-argentina
0x006814e8	portuguese-brazilian
0x00681500	norwegian-nynorsk
0x00681514	norwegian-bokmal
0x00681528	norwegian
0x00681534	italian-swiss
