0x00427810	Gineiden7 Starter 1.00
0x00427d80	CDialog
0x00427f4c	MS Sans Serif
0x00427f5c	MS Shell Dlg
0x00427f88	CTempWnd
0x00428260	AfxOldWndProc423
0x00428274	AfxWnd42s
0x00428280	AfxControlBar42s
0x00428294	AfxMDIFrame42s
0x004282a4	AfxFrameOrView42s
0x004282b8	AfxOleControl42s
0x004282cc	GetMonitorInfoA
0x004282dc	EnumDisplayMonitors
0x004282f0	MonitorFromPoint
0x00428304	MonitorFromRect
0x00428314	MonitorFromWindow
0x00428328	GetSystemMetrics
0x0042833c	USER32
0x00428344	DISPLAY
0x0042834c	commctrl_DragListMsg
0x00428438	InitCommonControlsEx
0x00428450	COMCTL32.DLL
0x00428540	CCmdTarget
0x00428650	CButton
0x00428730	CTempGdiObject
0x00428758	CTempDC
0x00428778	CPalette
0x004287a0	CBitmap
0x004287c0	CFont
0x00428800	CGdiObject
0x00428828	CPaintDC
0x00428850	CWindowDC
0x00428878	CClientDC
0x004288c0	CUserException
0x004288e8	CResourceException
0x00428bd0	CNotSupportedException
0x00428c00	CMemoryException
0x00428c30	CException
0x00428c88	CFileException
0x00428cc8	CFile
0x00428d40	CObject
0x00428d68	%*.*f
0x00428d74	CStringList
0x00428da8	CWinApp
0x00428e18	PreviewPages
0x00428e28	Settings
0x00428ef8	CWinThread
0x00428fd0	CTempMenu
0x00428ff8	CMenu
0x00429030	combobox
0x0042903c	System
0x00429070	CMapPtrToPtr
0x004290b8	CPtrList
0x004290d4	software
0x004295b0	CMemFile
0x00429640	CArchiveException
0x0042966c	MSWHEEL_ROLLMSG
0x00429698	COleDispatchException
0x00429814	RichEdit Text and Objects
0x00429830	Rich Text Format
0x00429844	FileNameW
0x00429850	FileName
0x0042985c	Link Source Descriptor
0x00429874	Object Descriptor
0x00429888	Link Source
0x00429894	Embed Source
0x004298a4	Embedded Object
0x004298b4	ObjectLink
0x004298c0	OwnerLink
0x004298cc	Native
0x00429928	COleException
0x00429a48	COleBusyDialog
0x00429a70	COleDialog
0x00429b58	%2\CLSID
0x00429b64	%2\Insertable
0x00429b74	%2\protocol\StdFileEditing\verb\0
0x00429b9c	%2\protocol\StdFileEditing\server
