0x00440c00	CTempWnd
0x00440ed8	AfxOldWndProc423
0x00440eec	AfxWnd42s
0x00440ef8	AfxControlBar42s
0x00440f0c	AfxMDIFrame42s
0x00440f1c	AfxFrameOrView42s
0x00440f30	AfxOleControl42s
0x00440f44	GetMonitorInfoA
0x00440f54	EnumDisplayMonitors
0x00440f68	MonitorFromPoint
0x00440f7c	MonitorFromRect
0x00440f8c	MonitorFromWindow
0x00440fa0	GetSystemMetrics
0x00440fb4	USER32
0x00440fbc	DISPLAY
0x00440fc4	commctrl_DragListMsg
0x0044109c	Afx:%x:%x:%x:%x:%x
0x004410b0	Afx:%x:%x
0x004410d0	InitCommonControlsEx
0x004410e8	COMCTL32.DLL
0x004411d8	CButton
0x004412b8	CCmdTarget
0x004413c0	CTempGdiObject
0x004413e8	CTempDC
0x00441408	CPalette
0x00441430	CBitmap
0x00441450	CFont
0x00441470	CBrush
0x004414b0	CGdiObject
0x004414d8	CPaintDC
0x00441500	CClientDC
0x00441548	CUserException
0x00441570	CResourceException
0x004417f0	CWinThread
0x004418a0	CNotSupportedException
0x004418d0	CMemoryException
0x00441900	CException
0x00441958	CFileException
0x00441998	CFile
0x00441a10	CObject
0x00441a50	CWinApp
0x00441ac0	PreviewPages
0x00441ad0	Settings
0x00441ba0	CDialog
0x00441d6c	MS Sans Serif
0x00441d7c	MS Shell Dlg
0x00441d8c	%*.*f
0x00441d98	CStringList
0x00441dd0	CStdioFile
0x00441e50	combobox
0x00441e78	CMapPtrToPtr
0x00441eb0	CTempMenu
0x00441ed8	CMenu
0x00441f20	software
0x00441f2c	System
0x00441f50	CArchiveException
0x00441f7c	MSWHEEL_ROLLMSG
0x00442004	H:mm:ss
0x0044200c	dddd, MMMM dd, yyyy
0x00442020	M/d/yy
0x00442030	December
0x0044203c	November
0x00442048	October
0x00442050	September
0x0044205c	August
0x00442074	April
0x0044207c	March
0x00442084	February
0x00442090	January
0x004420c8	Saturday
0x004420d4	Friday
0x004420dc	Thursday
0x004420e8	Wednesday
0x004420f4	Tuesday
0x004420fc	Monday
0x00442104	Sunday
0x0044212c	am/pm
0x004421f8	__GLOBAL_HEAP_SELECTED
0x00442210	__MSVCRT_HEAP_SELECT
0x0044229e	null)
0x004422ad	null)
0x004422ce	GAIsProcessorFeaturePresent
0x004422ec	KERNEL32
0x00442300	e+000
0x00442308	runtime error 
0x0044231c	TLOSS error\r\n
0x0044232c	SING error\r\n
0x0044233c	DOMAIN error\r\n
0x0044234c	R6028\r\n- unable to initialize heap\r\n
0x00442374	R6027\r\n- not enough space for lowio initialization\r\n
0x004423ac	R6026\r\n- not enough space for stdio initialization\r\n
0x004423e4	R6025\r\n- pure virtual function call\r\n
0x0044240c	R6024\r\n- not enough space for _onexit/atexit table\r\n
0x00442444	R6019\r\n- unable to open console device\r\n
0x00442470	R6018\r\n- unexpected heap error\r\n
0x00442494	R6017\r\n- unexpected multithread lock error\r\n
0x004424c4	R6016\r\n- not enough space for thread data\r\n
0x004424f0	\r\nabnormal program termination\r\n
0x00442514	R6009\r\n- not enough space for environment\r\n
0x00442540	R6008\r\n- not enough space for arguments\r\n
0x0044256c	R6002\r\n- floating point not loaded\r\n
0x00442594	Microsoft Visual C++ Runtime Library
0x004425c0	Runtime Error!\n\nProgram: 
0x004425e0	<program name unknown>
0x00442618	SunMonTueWedThuFriSat
0x00442630	JanFebMarAprMayJunJulAugSepOctNovDec
0x00442670	GetLastActivePopup
0x00442684	GetActiveWindow
0x00442694	MessageBoxA
0x004426a0	user32.dll
0x004426ac	1#QNAN
0x004426b4	1#INF
0x004426bc	1#IND
0x004426c4	1#SNAN
0x00442728	string too long
0x0044275c	invalid string position
0x00442828	ios::eofbit set
0x00442838	ios::failbit set
0x0044284c	ios::badbit set
0x00442ae8	Button
0x00442b08	ListBox
0x00442b48	ComboBox
0x00442b68	Static
0x00442b88	ComboLBox
0x00442bc4	Unknown exception
0x00447b92	lstrcpyA
0x00447b9e	DosDateTimeToFileTime
0x00447bb6	SetFileAttributesA
0x00447bcc	CloseHandle
0x00447bda	SetFileTime
0x00447be8	CreateFileA
0x00447bf6	ResumeThread
0x00447c06	DuplicateHandle
0x00447c18	GetCurrentProcess
0x00447c2c	WaitForSingleObject
0x00447c42	SuspendThread
