0x00410517	QLocalServer32
0x00410528	ThreadingModel
0x00410538	Apartment
0x0041054c	InprocServer32
0x0041055c	AUTPRX32.DLL
0x0041056c	VersionIndependentProgID
0x00410588	ProgID
0x00410abe	VerInstallFileA
0x00410ad0	VerQueryValueA
0x00410ae2	GetFileVersionInfoA
0x00410af8	GetFileVersionInfoSizeA
0x00410b10	VERSION.dll
0x00410b1e	CreateDirectoryA
0x00410b32	GetModuleFileNameA
0x00410b48	CreateFileA
0x00410b56	InterlockedIncrement
0x00410b6e	InterlockedDecrement
0x00410b86	QueryPerformanceFrequency
0x00410ba2	CreateEventA
0x00410bb2	CloseHandle
0x00410bc0	WriteFile
0x00410bcc	Sleep
0x00410bd4	ReadFile
0x00410be0	MultiByteToWideChar
0x00410bf6	GetPrivateProfileStringA
0x00410c12	GetPrivateProfileIntA
0x00410c2a	WideCharToMultiByte
0x00410c40	lstrlenW
0x00410c4c	lstrcmpiA
0x00410c58	SetLastError
0x00410c68	GetLastError
0x00410c78	lstrlenA
0x00410c84	CompareStringA
0x00410c96	CompareStringW
0x00410ca8	GetVersionExA
0x00410cb8	DeleteFileA
0x00410cc6	GetTempPathA
0x00410cd6	GetWindowsDirectoryA
0x00410cee	GetTickCount
0x00410cfe	GetFileAttributesA
0x00410d14	GetTempFileNameA
0x00410d28	GlobalUnlock
0x00410d38	GlobalLock
0x00410d46	GlobalAlloc
0x00410d54	GlobalFree
0x00410d62	lstrcpyA
0x00410d6e	LockResource
0x00410d7e	LoadResource
0x00410d8e	FindResourceA
0x00410d9e	GetModuleHandleA
0x00410db2	SetErrorMode
0x00410dc2	FreeLibrary
0x00410dd0	RemoveDirectoryA
0x00410de4	LeaveCriticalSection
0x00410dfc	EnterCriticalSection
0x00410e14	CreateThread
0x00410e24	CreateMutexA
0x00410e34	WaitForSingleObject
0x00410e4a	ReleaseMutex
0x00410e5a	InitializeCriticalSection
0x00410e76	DeleteCriticalSection
0x00410e8e	SetEvent
0x00410e9a	OpenEventA
0x00410ea8	CreateProcessA
0x00410eba	GetCurrentThreadId
0x00410ed0	HeapAlloc
0x00410edc	GetSystemInfo
0x00410eec	HeapCreate
0x00410efa	lstrcpynA
0x00410f06	lstrcatA
0x00410f12	WritePrivateProfileStringA
0x00410f30	FindClose
0x00410f3c	FindFirstFileA
0x00410f4e	SetFilePointer
0x00410f60	GetProcAddress
0x00410f72	LoadLibraryA
0x00410f82	GetShortPathNameA
0x00410f96	GetSystemDefaultLangID
0x00410fb0	MoveFileA
0x00410fbc	FindResourceExA
0x00410fce	GetFileSize
0x00410fdc	HeapDestroy
0x00410fea	UnmapViewOfFile
0x00410ffc	MapViewOfFile
0x0041100c	CreateFileMappingA
0x00411022	SizeofResource
0x00411034	GetStartupInfoA
0x00411046	ExitProcess
0x00411054	GetCommandLineA
0x00411066	DebugBreak
0x00411074	HeapReAlloc
0x00411082	HeapFree
0x0041108e	VirtualQuery
0x0041109e	VirtualProtect
